"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.751653534710773","0.736656219490707","0.655425828099116","0.454673279794538","0.276606245208653","0.219134361000254","0.189816815099254","0.180979680187031","0.0993694152937731","0.099051218504752","0.166552324998804","0.180523334514406","0.1813908129344","0.184549671202048","0.187054711226682","0.186599365483407","0.190373968113042","0.190059132428849","0.193546025766485","0.308474195975349","5.47276042886018","5.66206401405908","","","","","",
"Andorra","AND","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9540015857927","55.0266970614758","62.2413253364337","64.6893920186646","66.776581201681","68.5725644124372","71.2311117429011","73.9215103089428","75.9394224541016","92.0073743490295","59.5295940412646","55.1590634450866","43.9734700940905","42.6680345126312","48.3023135581217","40.2523804057716","37.2636185918004","33.7570305074661","21.3922491414225","17.9641157962322","15.1715175144124","10.8075248912667","","","","","",
"Angola","AGO","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2552308785088","71.8886219763241","72.7232601573794","71.2770389611499","72.2202550748116","74.0936837757282","73.4392536838809","74.1747624084926","77.3598274877364","74.1592372219138","75.499372086818","74.8215562011643","73.4070860196274","68.9456329773683","67.4255780367864","72.9221622795545","67.4388916111429","64.4047672019116","61.2613941032948","59.2419272693074","57.2750449010808","57.70308052512","57.1752699706323","","","","",
"Albania","ALB","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9381546783237","32.271107748477","46.0267567816229","49.2542688408565","48.7462526797453","48.8026570890236","50.3680054883012","53.9247512187178","49.4958726424572","42.8796749862984","41.6563640494042","39.3646645344376","36.1915169012018","33.7527330331705","35.9358624016756","36.8354878130584","31.7101889370071","32.1009500776199","35.9553632727122","38.1365368509572","37.1862125480726","36.1523222481874","38.2218347471341","","","","",
"Arab World","ARB","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45135935118169","9.43772326184682","7.64930809026856","7.43759097845213","7.63100003650269","7.4676559194421","7.43018109870133","8.34266882571334","7.82345939974783","7.34451540175083","7.41009495099509","7.34605841208179","7.10574697285316","7.18524267618898","7.08257264964541","6.92725846856682","7.02538462103734","6.32897824018688","5.93879554516427","5.86880603998726","5.80254495182282","5.66460169090645","4.64437570307182","","","","",
"United Arab Emirates","ARE","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.188368716187094","0.150356176355337","0.120144778840769","0.112603959099495","0.0734935811830899","0.0763557110514288","0.0709772145016666","0.0705620456536764","0.0688779843342717","0.0725676403271533","0.0647908581718868","0.0638708587694416","0.0987811461165488","0.112573317474346","0.125970557932982","0.127830821109845","0.132196695317692","0.13324714477503","0.139800814197871","0.141917439831288","0.133041001442044","","","","",
"Argentina","ARG","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.92290387915927","8.74818203752274","9.47164760475024","10.1283417339917","10.7377911345631","11.2051863228636","10.1941287353146","10.999071124224","11.3430117705839","10.305930701075","11.0782187045625","13.0403740361963","13.2879804109808","12.518128877051","8.34823931244025","8.95720487562845","10.1880575069534","8.70223587226553","7.60969337707322","8.57326797100782","8.96067011080365","8.95107637128109","8.77257826332822","","","","",
"Armenia","ARM","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11894303928168","2.30943597549722","6.67767751236278","12.9368356411116","17.7636649944177","9.27435670026943","12.4732998610119","10.1201113098491","9.38056474265841","8.35878670984344","7.16425739123982","5.41911927092634","8.8993554346971","9.81160751726082","8.70789829840829","6.49117094418511","7.65282938187516","7.01725682323977","6.40619832078654","7.80291325284481","9.36341748972634","8.01900315689258","6.56787286973008","","","","",
"American Samoa","ASM","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
