Country Name;Country Code;GDP per Capita;Birth Rate
Nicaragua;NIC;1960,490908;20,35
Netherlands;NLD;52138,68392;10,4
Norway;NOR;97429,70848;11,5
Nepal;NPL;701,6800634;20,516
New Zealand;NZL;44380,42658;12,68
OECD members;OED;38271,80473;11,90407974
Oman;OMN;19309,61245;19,918
Other small states;OSS;15653,19829;24,73388728
Pakistan;PAK;1315,267622;29,247
Panama;PAN;12712,43133;19,407
Peru;PER;6549,389229;19,914
Philippines;PHL;2872,512165;23,552
Papua New Guinea;PNG;2268,172539;28,51
Poland;POL;14337,20637;9,9
Pre-demographic dividend;PRE;1771,522304;38,9476356
Portugal;PRT;22124,36709;7,9
Paraguay;PRY;4712,870205;21,368
Pacific island small states;PSS;3807,047313;24,63970317
Post-demographic dividend;PST;42362,434;10,61465716
Qatar;QAT;96732,52903;11,886
Romania;ROU;10011,78592;9,2
Russian Federation;RUS;13902,14285;13,3
Rwanda;RWA;697,6265013;31,89
South Asia;SAS;1501,07409;21,15927311
Saudi Arabia;SAU;24406,46782;20,139
Sudan;SDN;1875,843287;33,054
Senegal;SEN;1067,131753;38,085
Singapore;SGP;56007,28821;9,8
Solomon Islands;SLB;2024,202861;29,921
Sierra Leone;SLE;792,5835504;36,052
El Salvador;SLV;4102,063852;17,314
Somalia;SOM;542,615884;43,61
Serbia;SRB;6200,173221;9,3
Sub-Saharan Africa (excluding high income);SSA;1799,341364;37,13231743
South Sudan;SSD;1115,093515;36,756
Sub-Saharan Africa;SSF;1800,633038;37,13042894
Small states;SST;13891,15083;23,0007865
Sao Tome and Principe;STP;1810,721562;34,051
Suriname;SUR;9680,115914;18,197
Slovak Republic;SVK;18501,42962;10,2
Slovenia;SVN;24001,88013;10,3
Sweden;SWE;58899,97979;11,9
Swaziland;SWZ;3477,149246;29,747
Seychelles;SYC;15563,79422;17
Chad;TCD;1024,668354;45,264
East Asia & Pacific (IDA & IBRD countries);TEA;6308,661066;14,53296986
Europe & Central Asia (IDA & IBRD countries);TEC;9877,87245;14,70144526
Togo;TGO;629,9976439;35,569
Thailand;THA;5969,940116;10,79
Tajikistan;TJK;1113,366354;30,592
Turkmenistan;TKM;8193,720297;21,103
Latin America & the Caribbean (IDA & IBRD countries);TLA;9867,966969;17,50113772
Middle East & North Africa (IDA & IBRD countries);TMN;4395,550769;24,61408454
Timor-Leste;TLS;1131,230851;37,783
Tonga;TON;4114,052115;24,846
South Asia (IDA & IBRD);TSA;1501,07409;21,15927311
Sub-Saharan Africa (IDA & IBRD countries);TSS;1800,633038;37,13042894
Trinidad and Tobago;TTO;21317,44927;14,3
Tunisia;TUN;4328,904197;19,2
Turkey;TUR;10303,8988;16,789
Tanzania;TZA;954,618988;39,015
Uganda;UGA;714,5673565;42,996
Ukraine;UKR;3065,164223;10,8
Upper middle income;UMC;8494,654019;14,84313955
Uruguay;URY;16737,9731;14,258
United States;USA;54398,46001;12,5
Uzbekistan;UZB;2052,586781;23,3
St. Vincent and the Grenadines;VCT;6672,810537;16,04
Vietnam;VNM;2052,319084;17,157
Vanuatu;VUT;3147,96486;26,466
West Bank and Gaza;PSE;2960,778004;32,661
World;WLD;10754,83804;19,34875504
Samoa;WSM;4172,2171;25,608
South Africa;ZAF;6472,101027;20,657
Congo, Dem. Rep.;COD;437,8149312;41,96
Zambia;ZMB;1725,974549;40,052
Zimbabwe;ZWE;931,1981847;35,189
