"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Australia","AUS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","19791632991.4806","21279217449.9743","23150569216.6604","25433293577.8527","26984322623.6659","29736057554.4727","32501678761.8505","36390874439.3505","40670875064.5559","44657968221.193","50653671101.9684","61230633470.6252","80839527499.9756","98903272434.6814","108562895524.267","113580143224.175","120999138431.51","138487143252.608","157604255571.58","174613494640.175","183724463195.606","176930648070.617","185300389082.567","186946620980.299","195247412814.868","202153633159.831","231088951850.675","260135672300.297","293934357718.157","314704450705.082","325754367221.438","333086194448.906","334744712832.107","348659971098.363","375342122822.145","406489420744.247","407261691390.65","405642386203.38","404287814628.513","390376002976.302","392208243410.083","419966425399.215","513068374801.503","618200700695.261","706636892573.987","777088856220.991","900061907418.792","954753971107.948","1025186265964.61","1119902200888.19","1359417341367.39","1514268918218.51","1516201334225.03","1428649753411.53","",
"Austria","AUT","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","7542193505.44714","8160812049.70646","8952334691.99851","9711756127.16678","10733894518.9912","11490052086.3633","12488031184.1324","13757221942.2534","15337165701.6963","17283616358.9116","20751978873.3491","27036839018.2967","35228934218.3386","41821019000.278","45063704038.2275","50209311344.0106","56779658236.1123","72348878860.2026","86212096278.1383","84274584613.0629","78360802239.9994","72344558548.6516","69851925138.6005","70569253427.9501","81585378350.5444","104236912457.619","136598054196.042","146501470492.086","157834043438.737","168507891934.249","191586114790.88","195900786534.845","206683505280.676","223259171273.899","239143118710.417","235442245890.037","222746195411.767","217454272294.354","213819474688.038","203194950197.595","201650389167.652","226881509264.128","274722862150.905","316760814878.67","341180283320.553","366637258997.239","406006202720.036","406433186136.548","412767213270.131","422163331171.53","420072127548.357","429075935453.339","423405730702.982","405724921616.242","",
"Azerbaijan","AZE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4423404929.97602","3310923482.6684","3038779314.3061","3114588734.16848","3536172007.67364","4042472321.7658","4552756828.42333","4922349656.4287","5337804975.16239","5860818720.89466","6766622728.74185","7894390278.95175","10620569675.9871","16040241874.8414","23239091241.4064","33943085073.6144","42937271542.4717","48657379031.2355","50720296553.1511","58425547611.3875","69184546458.2366","72424695197.9255","63332400476.4124","",
"Burundi","BDI","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","206666179.554777","229705021.266601","249136186.896266","218415484.943328","186278497.787243","178801235.584619","176530724.12111","178807836.954774","235185344.33884","250901658.136643","245081171.320459","301256262.156112","348631154.078755","414529128.473886","461778313.282135","545551150.710919","581439793.958895","720310248.680174","896643348.126934","1074923410.54021","1034715176.42408","1019182029.11059","1009821428.96855","1131169775.87282","1201972390.95721","1294120780.36516","1302305820.07593","1210929034.44108","1187230148.15055","1225750918.73291","1192299103.35533","1044187086.06226","955734527.505135","916444361.740933","868857678.238636","906257045.773037","906190364.534552","866791081.745412","859340957.827909","843865403.332798","862872242.206565","827371837.115563","887399105.827599","995645970.011346","1175383857.86099","1343416577.79126","1525194944.31045","1651965519.0478","1858616904.37402","2111617801.04119","2389492833.66949","2646230338.49546","2879886373.44989","2900416641.70494","",
"Belgium","BEL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","13405546015.7946","14226174724.9565","15668565678.5183","17067196863.0391","18553179286.3821","20097046130.0383","21872541388.0785","24221708058.9659","27035999502.6264","29912925722.8594","35520016498.7103","45899743558.9876","58874388993.5879","68058757943.4867","74814839811.0207","81195888004.3487","94535140656.9744","116116760364.572","138487067373.043","130703584057.952","110746504365.607","93347466362.3482","87777198619.1146","87407607531.0566","100736808344.812","129866812921.768","169233842461.673","180042478329.904","193416863803.058","206919490233.752","233844921144.469","237182528956.827","255011689363.776","275722938453.178","292113880737.64","291645311274.791","272600793584.353","267718506633.785","266898353577.527","252312503313.038","249288837932.276","281421474476.753","343542422200.203","396646687638.678","422224280498.391","454359062595.387","500208687544.694","499376492200.124","520905454929.356","519341311262.331","524076110629.817","528250891930.478","527740040367.65","500601691999.747","",
"Benin","BEN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","233081244.245106","249823276.868035","271737334.883991","292322671.915614","308228074.640358","314614211.482947","333126806.55756","344766352.160895","352437255.778334","347345820.877676","397398703.00607","487765487.228037","599423384.098941","668407934.659043","706757958.084568","787514376.266492","876798112.457336","1113346653.23187","1433291409.34568","1561860215.17251","1427034076.33733","1156983672.19191","1121503753.79982","1114750071.07764","1202357092.94046","1390353444.39465","1698144661.20831","1635602546.72419","1825173504.62337","1953417708.26831","1947363975.74297","2105178994.06111","1894285350.59208","2098301521.30944","2130455504.33311","2374740872.15363","2403760082.84461","2526428846.0476","2691398094.61987","2760552617.99682","2832306435.77978","3301916385.43014","4116860860.45766","4796421315.09816","5169720378.98959","5734073246.6096","6553032931.43623","7085158743.79311","7246853838.29242","7521291161.63968","7962596288.2635","8864597807.87222","9471581123.02699","9363818951.45434","",
"Burkina Faso","BFA","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","387079234.109717","387900780.19742","408452225.801728","428515759.628449","440441286.335377","474418479.302566","488390595.63851","495557663.764234","492796321.170454","503420899.381152","551659417.17345","657214246.160123","829367840.666566","962066238.763887","1040581437.0575","1100289200.20935","1307248243.79361","1672887524.63342","2016183082.86522","2079799214.9836","2020634181.06889","1726429077.56439","1550335317.9641","1600017145.13151","1864882214.66573","2189871551.48677","2715942816.58694","2828813290.64324","2922762678.25857","3227199454.81348","2941774988.78394","2647352082.72291","2236456633.85895","2357345297.42766","2562020121.20859","2682137028.57619","2729578933.83424","2889189151.7289","2869437795.50196","2910348987.20066","2964680511.76036","3604819349.7611","4460290910.40737","5485925499.46333","6005947314.28875","6541036112.557","7618419569.36242","8341924788.23864","9468888865.2675","9779838702.78335","10600725964.5761","11775664580.4348","12071923569.3756","12004862586.2463","",
"Bangladesh","BGD","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","8399229108.33839","10948234834.7012","14726601164.442","14612255950.6217","12748203735.7556","12459885762.845","15000933835.0456","18482464846.4267","21495903580.0191","20906830880.537","19631686878.0644","19385911622.6188","20469650220.1726","23034262941.2841","26554303286.9657","28686460019.634","30263526734.0361","32618765129.8499","33713368491.3938","35343162032.7454","35844144644.4222","36601375214.1395","39239826436.5389","43235500776.4098","47648029852.7851","51007259905.1184","52908196452.9176","55712709024.3031","57006615191.3699","57885640079.8332","62202314641.6736","69524380790.8107","76597955075.9008","80892580829.1053","86321645143.7238","95700163126.4346","106129586446.968","118314369980.501","133342228078.985","146862450772.408","158832995139.035","171249782593.24","191313744326.217","",
"Bulgaria","BGR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","21341838630.7485","19043810637.2695","18241990900.3954","17684171846.607","19682010527.9044","24701436282.0122","28212115194.2283","25284146186.7164","19662226229.4415","13982190422.4924","12213007513.4507","10582125370.2012","10500067821.0918","11428307334.9578","10909522677.6108","11035638598.5968","11455062384.469","12199377158.7599","13530595800.0953","14152800153.3426","15388397242.4313","18377881962.1783","23525912770.2829","29094485959.3879","32597136971.5451","36662058709.8941","45708804709.7994","49448676546.7799","50554622971.9057","51915961315.6545","53054040804.9216","54316192856.7011","54946364043.769","51843138070.5802","",
"Bahrain","BHR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","3206757225.36146","3461353557.85865","3749620854.61285","3393893403.26539","3231291750.6978","3515462560.66257","3522744425.4571","3514806295.23873","3579347816.89942","4994407246.88011","5170554927.73542","5380733481.62036","5322440347.24095","5852277397.84182","6244658786.72488","6133220558.67822","6178388137.27406","6284046634.19993","7269677350.3829","8019575008.84768","8893877684.79782","10081951683.2776","12095581021.5616","14712829242.3576","17145495877.3772","20366264292.8261","23250133028.7215","22319249146.4678","23537595266.5205","23329694659.0398","25958473160.4892","28425231143.604","28412249669.0088","28031421550.4066","",
